EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
444,Europe/Guernsey,True,Europe/Belfast,3664,a40006ee580ef0a4b6a7b925fee2e11f,b40ff720,316ecacc34136294ce11dcb6d0f292570ad0515f799fd59fbff5e7121799860b1347d802b6439a291f029573a3715e043009e2c1d5275f38957be9e04f92e62e,00056A53,3664
445,Europe/Helsinki,False,,1900,a593351c8de80b7dede3f6507625d7a7,c7a9e6f9,7dc18d44ace662ae249b00ec9aa49c0074a9f59264b2ff812767964d6ac01c3fded9cb0a37e6653cbc94d7b3ceaddac4a49a3fb807ded2e224269e8d1be557f6,0005B7AF,1900
446,Europe/Isle_of_Man,True,Europe/Belfast,3664,a40006ee580ef0a4b6a7b925fee2e11f,b40ff720,316ecacc34136294ce11dcb6d0f292570ad0515f799fd59fbff5e7121799860b1347d802b6439a291f029573a3715e043009e2c1d5275f38957be9e04f92e62e,00056A53,3664
447,Europe/Istanbul,True,Asia/Istanbul,1933,af3d9edd5f254a93254e2966cd0c9a79,3d8fe3f2,9c12658836c6532382e824bf98c207d291e244d751e880f9191b361cfdcdf0d11f4ecf30c760a17e9b5067add0338990b607dfea35154b35371dae77de6819a3,0004223D,1933
448,Europe/Jersey,True,Europe/Belfast,3664,a40006ee580ef0a4b6a7b925fee2e11f,b40ff720,316ecacc34136294ce11dcb6d0f292570ad0515f799fd59fbff5e7121799860b1347d802b6439a291f029573a3715e043009e2c1d5275f38957be9e04f92e62e,00056A53,3664
449,Europe/Kaliningrad,False,,1493,44af6dfe8fa4f7c48abcbc9d3387a19a,4a2b5ec5,b653095dcc100087e395f38b5325ba74df08e7c05920af7c934977b9eb527b30c27c8dcbadde81307b85bf853ab25c29d3457dde53932e3432f453f9aac4d349,0005BF1B,1493
450,Europe/Kiev,False,,2120,114c4219e41d9cf8eaa77e13f87fabb6,b43148c1,e353e9bd9d33921ac09decb3964c5065c88db29bd16a37e2cb9746bc1aca060c263c8bceb069134c933ad0b7ab2748a1db54f6cbad670b959895262afd749c6d,0005C4F0,2120
451,Europe/Kirov,False,,1185,7a058894faf93b7096d4eb71e65d5ccc,4eb82375,b9afee71c78239481aac2f6176f317365bb7a4e44db0c86922983dfc79e6bef7ab668a1df65d87a7cd2b87208237ce718162e19d1e53c60cb4b3d392e6cdf8a6,0005CD38,1185
452,Europe/Kyiv,True,Europe/Kiev,2120,114c4219e41d9cf8eaa77e13f87fabb6,b43148c1,e353e9bd9d33921ac09decb3964c5065c88db29bd16a37e2cb9746bc1aca060c263c8bceb069134c933ad0b7ab2748a1db54f6cbad670b959895262afd749c6d,0005C4F0,2120
453,Europe/Lisbon,False,,3527,fea92c4c565c3f87f9c1d3e316febb5e,49d35944,b967af32ef6555b341423f282fb8f47d1b7613025372fa20659e266787b19a8377f8b6379973e033032d7fed3308b192cee93962a54974184828797f16b659b0,0005D1D9,3527
