EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
122,America/Guadeloupe,True,America/Anguilla,177,92d3b867243120ea811c24c038e5b053,3b2ac971,1eee8298dffa70049439884f269f90c0babcc8e94c5ccb595f12c8cfe3ad12d52b2d82a5853d0ff4a0e4d6069458cc1517b7535278b2fdef145e024e3531daad,0000A89A,177
123,America/Guatemala,False,,212,f8be05a9398502fc14e50eea2693497c,53838aac,e70b7e47bf2da6ab9b933953567bba16d7eee2d8176a2d547c6024eb3b52f07b8a640c1841f2b3ca53ea6703140b98ec1f508c5d5bd6eb442e4105852dc5f347,00013A8C,212
124,America/Guayaquil,False,,179,dada91f7db29bcab55bfd2478a5b0779,e376c3cd,8d293c1b3a055fa14318e4c25e15d901999e85cf62058aaabd0b0d5bf3ae46126f7977a1702dfc9a53f06622f598a47347d3bf3de305cffe54ea4cacaa7b9a38,00013B60,179
125,America/Guyana,False,,181,10089d01ae922cfd19a041f3de5ae1ea,89f30501,5e90c070bdd831a0a20ce5c1cb1780ae6b1fd0e7afda8a188661c5bfd1262316e535c85bd433761bbffd2c3d32eed14bf35f8f8c1e11ea6424b2b5d2a5363e75,00013C13,181
126,America/Halifax,False,,1672,ef31a488808a56cc6d3c9a3c5a53abeb,2d173a29,d09629d1274e6f7153940151a837febde0f08eb17fe170c8a0e8422a86fb3905ad74d4379eecc6cbbc2fe4f17aff7cd7a2d807261cb21e3867d854cb5a92e3b4,00013CC8,1672
127,America/Havana,False,,1117,14af0ba77d76b97e0e666c070c2172cf,9a9e1c07,b59e2dadd7ab207e7f0a508ac4219b3c2b5801a1f3bfcced78f2b5d16e848cdcb7dd79f39984f053a367c55edcc4c23c5c660278d4a8a551f6fee4a3a1dc5e3c,00014350,1117
128,America/Hermosillo,False,,258,239939d8c11bb88b732e11076fed40cb,0abe4bca,719922a83ec1507d3d1948849f0fb0ed1821587c99a6922965c4766083a733c59385321b2a5a9916185e1a5554aedc5554c6b3b906c3e51a285f805eeef72e17,000147AD,258
129,America/Indiana/Indianapolis,True,America/Fort_Wayne,531,9208172103191bf0d660e0023b358ea1,c97bb670,013be7c175dba66510fbd2972e0d4b76b7073a079aaed9e0a454753dc5e18fb1133b2947c48bd7e1cfa70820b397af6ff49b41434a4909906f87a8c91b853178,000125DF,531
130,America/Indiana/Knox,False,,1016,964fb4bc6d047b2a8826a0734633ab0b,33872024,869203f9854bf2cd0ffcc75f4524965757ecb03879a08e1275404b7eaeb5942eb25dff0f6ca6bfa236e659e2fb315c1b9dfcfc544a59ff7b3cdd6ab6904aa298,000148AF,1016
131,America/Indiana/Marengo,False,,567,fdc9d5431dd16120c1465f298e28e260,9f552f4d,8724564c14cb5f40b8d98966498fa908b91bdccafcf99ab73156a939d09ffd06474ea5d9fefb8b222146c45d53e922e40a40d9ae06d21d6207a6e8c5a997c446,00014CA7,567
132,America/Indiana/Petersburg,False,,683,2c18bc1a2ddb1b06e98ffa553ef1aaee,8c4ed801,c81c3fbdda60af8901543832c2df55f6ea4cb0705905fd6b9d1d90aea084b758dbcdacb270bcb03bab87e92119a17a165940f15ef569fd7595bb3c6079f04c8e,00014EDE,683
133,America/Indiana/Tell_City,False,,522,90db76a975de863aadbcf37b47e18cd2,a64bb5d8,eaf49baa2af301817c40705261d45718895a8afba76b5010043bc7b4c1e3cad391bbe29ceaeffb91568c48f0763d74c4980ad4471c4be38f93183dd99dd2b6dc,00015189,522
134,America/Indiana/Vevay,False,,369,768d11c820a4f93683de8f8bc03df8c8,7d891720,8c566a9bc39353fedf1e67964f7f9d92b5e91f4ce2a6b86e69113ef29bb3d08d4a18c0a725df62e8955b2c0331623529ed1ad31b59c75c2a0070605929c6c357,00015393,369
